comp1,comp2,response
8.494488,-30.688856,0
22.64913,-27.235031,0
29.80316,-10.756652,0
4.2739162,7.0162587,0
27.206215,1.1670074,0
-18.2589,-14.663354,0
-0.545312,-21.676956,0
-16.842037,-7.296687,0
-19.564886,11.40643,0
8.437823,-13.099942,0
-4.6838026,-12.854202,0
14.939234,12.77878,0
14.7561655,-19.299465,0
-35.464386,7.5412755,0
21.089336,11.036784,0
17.84934,8.174473,0
-11.935465,-3.161681,0
18.76802,14.014089,0
-17.369463,-19.55493,0
-27.370419,-14.957591,0
-32.940685,17.737549,0
4.51246,-17.11769,0
23.033173,1.1450639,0
10.10072,-9.238703,0
17.028072,0.36052978,0
-17.988174,-7.2846627,0
-23.66057,13.050451,0
14.415138,-11.1302,0
5.33281,-16.402449,0
21.11178,-6.7834044,0
11.513085,-22.280474,0
-0.4846594,14.525853,0
-0.24012098,-31.27172,0
-19.148537,-19.075098,0
-7.5837874,13.096906,0
17.673615,-2.118432,0
13.959252,3.754728,0
36.311546,-10.799973,0
1.7842827,14.559062,0
-24.53251,-8.479184,0
-19.203192,16.53106,0
17.759918,11.566788,0
18.415121,-8.135371,0
-3.2960818,17.74855,0
-12.968316,7.1705966,0
3.2509508,0.40346605,0
-5.955182,-0.08765676,0
-18.556807,-0.16073988,0
-20.59408,-14.145424,0
-29.203413,6.061983,0
-6.3231096,21.803114,0
-15.961192,18.513083,0
-38.548244,7.8219132,0
11.532057,10.220252,0
24.388102,-16.27144,0
-26.175743,21.540344,0
4.829048,-17.488813,0
12.747939,-13.990713,0
-19.990885,-14.884871,0
20.566393,-19.897718,0
-5.9652767,13.420704,0
-25.087248,10.064931,0
13.990177,-4.9418235,0
32.74212,-7.036927,0
17.732193,-0.31385955,0
16.636631,-6.842914,0
35.97765,-10.6842165,0
12.245856,-19.11221,0
-3.761165,14.401691,0
-31.112423,17.437979,0
-10.045404,23.118658,0
-24.821571,-7.6223283,0
37.133022,-10.062398,0
37.084057,5.396117,0
24.18944,0.41666776,0
20.938457,-1.7807679,0
-7.1656547,17.584583,0
-15.8391485,2.4274595,0
-15.903032,36.589428,0
-8.740316,21.063076,0
17.945765,3.8904383,0
4.804938,-16.201378,0
-25.266514,14.5544,0
31.27406,-11.335008,0
14.115151,-12.77276,0
-34.75567,13.807438,0
-11.976567,25.972654,0
4.1130304,-26.048885,0
13.385595,10.1851635,0
-12.91617,-10.776254,0
-18.68525,34.046375,0
9.606634,-5.2462206,0
-13.494264,-4.326212,0
-2.4583595,-20.199839,0
-0.72494155,22.3299,0
-15.370718,-28.013597,0
18.14487,-3.012354,0
-21.032797,14.914048,0
-12.506925,25.155489,0
17.631546,11.2661705,0
-18.933556,16.590843,0
-24.026554,-20.02171,0
-5.854923,-0.02709021,0
5.5792103,-18.948708,0
-26.252886,21.701519,0
-5.223743,-13.233934,0
3.6315796,-20.871048,0
4.122949,0.61897457,0
17.996634,4.901291,0
-6.465664,-3.4279928,0
-12.478054,15.603064,0
12.04504,-10.307448,0
16.108364,-12.465781,0
-8.114807,-17.957462,0
-9.007531,-1.77249,0
